NrRegisto,DataRegisto,NomeAlojamento,Modalidade,NrCamas,NrUtentes,MoradaFornecida,CodPostal,Freguesia,RuaPadronizada,RuaMatch,LimpezaDados,Ano,Mes,NrPredio,Endereco,Latitude,Longitude
10/AL,2014-11-28,Lisbon Inn / Glória 8,Apartamento,6.0,6,"Rua Santo António da Glória, 1",1250-214,Santo António,rua santo antónio da glória,rua de santo antónio da glória,done,2014,11,1.0,"rua de santo antónio da glória, 1",38.7165633,-9.1440239
100021/AL,2019-07-16,Femenino Camara,Apartamento,5.0,6,"Travessa Pinheiro, 11",1200-763,Estrela,travessa pinheiro,travessa do pinheiro,done,2019,7,11.0,"travessa do pinheiro, 11",38.7121502,-9.1593992
100023/AL,2019-07-16,Baixa Charmoso e Luminoso 1 Quarto com Vista e Garagm,Apartamento,2.0,3,"Rua São Julião, 96",1100-526,Santa Maria Maior,rua são julião,rua de são julião,done,2019,7,96.0,"rua de são julião, 96",38.7094063,-9.1366478
100025/AL,2019-07-16,Le Flat Campolide,Apartamento,1.0,2,"Rua Dom Carlos de Mascarenhas, 26",1070-083,Campolide,rua dom carlos de mascarenhas,rua dom carlos de mascarenhas,done,2019,7,26.0,"rua dom carlos de mascarenhas, 26",38.7278463,-9.1632509
100026/AL,2019-07-16,Vila Rodrigues 8,Estabelecimento de hospedagem,7.0,14,Beco Bombarda nº 52,1100-096,Arroios,beco bombarda,beco da bombarda,done,2019,7,52.0,"beco da bombarda, 52",38.7205331,-9.133876
100027/AL,2019-07-16,Dalma Flats,Apartamento,30.0,30,"Largo do Regedor, 10",1150-194,Santa Maria Maior,largo do regedor,largo do regedor,done,2019,7,10.0,"largo do regedor, 10",38.7150564,-9.1397954
100030/AL,2019-07-16,Praça do Comércio Apart 1 quarto com vistas e garagem,Apartamento,2.0,3,"Rua São Julião, 96",1100-526,Santa Maria Maior,rua são julião,rua de são julião,done,2019,7,96.0,"rua de são julião, 96",38.7094063,-9.1366478
100109/AL,2019-07-17,J C APT,Apartamento,4.0,8,"Rua António Pereira Carrilho, 36",1000-047,Arroios,rua antónio pereira carrilho,rua antónio pereira carrilho,done,2019,7,36.0,"rua antónio pereira carrilho, 36",38.7344516,-9.1364704
100110/AL,2019-07-17,La petite maison de Lapa,Apartamento,2.0,6,"Rua Lapa, 59",1200-700,Estrela,rua lapa,rua da lapa,done,2019,7,59.0,"rua da lapa, 59",38.7101711,-9.1599945
100192/AL,2019-07-18,My Spot Penha de França,Apartamento,4.0,7,"Rua Marques da Silva, 17",1170-224,Penha de França,rua marques da silva,rua marques da silva,done,2019,7,17.0,"rua marques da silva, 17",38.730262,-9.13207
100193/AL,2019-07-18,Casa do Terceiro,Apartamento,3.0,6,"Travessa Cais do Tojo, 7",1200-082,Misericórdia,travessa cais do tojo,travessa do cais do tojo,done,2019,7,7.0,"travessa do cais do tojo, 7",38.70832410000001,-9.1520927
100253/AL,2019-07-19,Trinas Dois,Apartamento,4.0,4,"Rua Trinas, 130",1200-860,Estrela,rua trinas,rua das trinas,done,2019,7,130.0,"rua das trinas, 130",38.7103084,-9.1593282
100254/AL,2019-07-19,Trinas Um,Apartamento,4.0,4,"Rua Trinas, 130",1200-860,Estrela,rua trinas,rua das trinas,done,2019,7,130.0,"rua das trinas, 130",38.7103084,-9.1593282
100257/AL,2019-07-19,Downtown Rossio Apartment,Apartamento,7.0,10,"Rua Portas de Santo Antão, 35",1150-264,Santa Maria Maior,rua portas de santo antão,rua das portas de santo antão,done,2019,7,35.0,"rua das portas de santo antão, 35",38.7153972,-9.1398513
100258/AL,2019-07-19,Apartamento Chapim Real,Apartamento,5.0,12,"Travessa do Noronha, 15",1250-170,Santo António,travessa do noronha,travessa do noronha,done,2019,7,15.0,"travessa do noronha, 15",38.7170045,-9.1534562
100259/AL,2019-07-19,Frei Carlos,Apartamento,3.0,4,"Rua Frei Carlos, 14",1600-096,Avenidas Novas,rua frei carlos,rua frei carlos,done,2019,7,14.0,"rua frei carlos, 14",38.7456624,-9.1576869
100260/AL,2019-07-19,Rossio Square Apartment,Apartamento,7.0,10,"Rua Portas de Santo Antão, 35",1150-264,Santa Maria Maior,rua portas de santo antão,rua das portas de santo antão,done,2019,7,35.0,"rua das portas de santo antão, 35",38.7153972,-9.1398513
100261/AL,2019-07-19,Almirante 141,Apartamento,4.0,6,"Avenida Almirante Reis, 141",1150-015,Arroios,avenida almirante reis,avenida almirante reis,done,2019,7,141.0,"avenida almirante reis, 141",38.7325728,-9.1346325
100331/AL,2019-07-20,Olá Lisbon - Olaias,Apartamento,3.0,6,"Avenida Engenheiro Arantes e Oliveira, 4",1900-222,Areeiro,avenida engenheiro arantes e oliveira,avenida engenheiro arantes e oliveira,done,2019,7,4.0,"avenida engenheiro arantes e oliveira, 4",38.7388613,-9.124602
100332/AL,2019-07-20,Bombarda Flat,Apartamento,3.0,6,"Rua Bombarda, 7",1100-097,Arroios,rua bombarda,rua da bombarda,done,2019,7,7.0,"rua da bombarda, 7",38.7194858,-9.1343913
100333/AL,2019-07-20,Ouro & Prata,Apartamento,2.0,4,"Rua Crucifixo, 71",1100-182,Santa Maria Maior,rua crucifixo,rua do crucifixo,done,2019,7,71.0,"rua do crucifixo, 71",38.7104188,-9.1389649
100334/AL,2019-07-20,Luxury City Centre Apartments,Apartamento,2.0,4,"Rua Barata Salgueiro, 29",1250-042,Santo António,rua barata salgueiro,rua barata salgueiro,done,2019,7,29.0,"rua barata salgueiro, 29",38.7212685,-9.1480997
100335/AL,2019-07-20,Lisbon Historical Carnide I,Apartamento,2.0,4,"Rua do Machado, 12",1500-395,Carnide,rua do machado,rua do machado,done,2019,7,12.0,"rua do machado, 12",38.7598137,-9.1883656
100336/AL,2019-07-20,Lisbon Historical Carnide III,Apartamento,6.0,9,"Rua Neves Costa, 15",1600-532,Carnide,rua neves costa,rua neves costa,done,2019,7,15.0,"rua neves costa, 15",38.7599272,-9.1883389
100337/AL,2019-07-20,Lisbon Historical Carnide II,Apartamento,2.0,4,"Rua Neves Costa, 17",1600-532,Carnide,rua neves costa,rua neves costa,done,2019,7,17.0,"rua neves costa, 17",38.759916,-9.1883836
100339/AL,2019-07-20,Casa Serra,Apartamento,2.0,4,"Rua Tomás da Anunciação, 16",1350-327,Campo de Ourique,rua tomás da anunciação,rua tomás de anunciação,done,2019,7,16.0,"rua tomás de anunciação, 16",38.7156267,-9.165088
100340/AL,2019-07-20,Casa da Estrela,Apartamento,2.0,4,"Rua Navegantes, 47/49",1200-729,Estrela,rua navegantes,rua dos navegantes,done,2019,7,49.0,"rua dos navegantes, 49",38.71220191462367,-9.160515600511845
100342/AL,2019-07-20,Ouro & Prata,Apartamento,2.0,4,"Rua Crucifixo, 75",1100-182,Santa Maria Maior,rua crucifixo,rua do crucifixo,done,2019,7,75.0,"rua do crucifixo, 75",38.710441,-9.1390489
100343/AL,2019-07-20,boqueirao,Apartamento,2.0,4,"Boqueirão Ferreiros, 11",1200-185,Misericórdia,boqueirão ferreiros,boqueirão dos ferreiros,done,2019,7,11.0,"boqueirão dos ferreiros, 11",38.7079413,-9.1493762
100344/AL,2019-07-20,"Hostmaker, Unipessoal, LDA",Apartamento,5.0,10,"Rua Cidade de Malange, 6",1800-101,Olivais,rua cidade de malange,rua cidade de malanje,done,2019,7,6.0,"rua cidade de malanje, 6",38.7644964,-9.1172017
100345/AL,2019-07-20,São Bento,Apartamento,3.0,6,Rua Santo Amaro,1200-801,Estrela,rua santo amaro,rua de santo amaro,manual,2019,7,,rua de santo amaro,38.7144278,-9.157527
100346/AL,2019-07-20,Retreat with view of Tagus river,Apartamento,2.0,4,"Travessa Moinho Velho, 3",1300-420,Ajuda,travessa moinho velho,travessa do moinho velho,done,2019,7,3.0,"travessa do moinho velho, 3",38.70432419999999,-9.1928755
100348/AL,2019-07-20,TOREL APARTMENTS,Apartamento,4.0,4,"Rua Câmara Pestana, 39",1150-082,Arroios,rua câmara pestana,rua câmara pestana,done,2019,7,39.0,"rua câmara pestana, 39",38.718281,-9.1400771
100349/AL,2019-07-20,TOREL APARTMENTS,Apartamento,4.0,4,"Rua Câmara Pestana, 39",1150-082,Arroios,rua câmara pestana,rua câmara pestana,done,2019,7,39.0,"rua câmara pestana, 39",38.718281,-9.1400771
100350/AL,2019-07-20,TOREL APARTMENTS,Apartamento,2.0,2,"Rua Câmara Pestana, 39",1150-082,Arroios,rua câmara pestana,rua câmara pestana,done,2019,7,39.0,"rua câmara pestana, 39",38.718281,-9.1400771
100351/AL,2019-07-20,TOREL APARTMENTS,Apartamento,4.0,4,"Rua Câmara Pestana, 39",1150-082,Arroios,rua câmara pestana,rua câmara pestana,done,2019,7,39.0,"rua câmara pestana, 39",38.718281,-9.1400771
100352/AL,2019-07-20,TOREL APARTMENTS,Apartamento,2.0,2,"Rua Câmara Pestana, 39",1150-082,Arroios,rua câmara pestana,rua câmara pestana,done,2019,7,39.0,"rua câmara pestana, 39",38.718281,-9.1400771
100429/AL,2019-07-23,Cosy Terrace Apartment,Apartamento,2.0,4,"Travessa Calado, 29",1170-068,Penha de França,travessa calado,travessa do calado,done,2019,7,29.0,"travessa do calado, 29",38.7298304,-9.1291527
100430/AL,2019-07-23,São Bento Charming 1 Bedroom Apartment,Apartamento,3.0,3,"Rua São Bento, 199",1250-219,Campo de Ourique,rua são bento,rua de são bento,done,2019,7,199.0,"rua de são bento, 199",38.7155723,-9.1546383
100431/AL,2019-07-23,Ulisseia - Marvila Industrial River Warehouse,Apartamento,18.0,24,"Avenida Infante Dom Henrique, N/A N/A N/A Edifício Beira Mar, Armazém S",1950-408,Marvila,avenida infante dom henrique,avenida infante dom henrique,done,2019,7,,avenida infante dom henrique,38.744839,-9.103112
100432/AL,2019-07-23,T1 Areeiro,Apartamento,2.0,4,"Praça Afrânio Peixoto, 7",1000-009,Areeiro,praça afrânio peixoto,praça afrânio peixoto,done,2019,7,7.0,"praça afrânio peixoto, 7",38.7444484,-9.1361072
100433/AL,2019-07-23,Confortable Full Apartment in the Heart of Lisbon,Apartamento,4.0,6,"Rua Poeta Mílton, 14",1170-321,Arroios,rua poeta mílton,rua poeta milton,done,2019,7,14.0,"rua poeta milton, 14",38.7281567,-9.132787
100434/AL,2019-07-23,The Grapevine Apartment,Apartamento,5.0,6,"Avenida Rio de Janeiro, 11",1700-330,Alvalade,avenida rio de janeiro,avenida do rio de janeiro,done,2019,7,11.0,"avenida do rio de janeiro, 11",38.7536153,-9.1386389
100435/AL,2019-07-23,Largo do Olival 2º - 7555,Apartamento,3.0,6,"Largo Olival, 2º 1º Direito",1950-208,Beato,largo olival,largo do olival,done,2019,7,1.0,"largo do olival, 1",38.7335091,-9.1066166
100436/AL,2019-07-23,Timeless - Old City,Quartos,8.0,8,"Travessa Livramento, 10",1350-191,Estrela,travessa livramento,travessa do livramento,done,2019,7,10.0,"travessa do livramento, 10",38.7059789,-9.1725008
100490/AL,2019-07-24,Casa da Palmira,Apartamento,2.0,4,"Rua Palmira, 13",1170-285,Arroios,rua palmira,rua palmira,done,2019,7,13.0,"rua palmira, 13",38.7231235,-9.134434
100491/AL,2019-07-24,ZHUANG APARTMENT,Apartamento,3.0,5,"Avenida Miguel Bombarda, 14",1050-165,Avenidas Novas,avenida miguel bombarda,avenida miguel bombarda,done,2019,7,14.0,"avenida miguel bombarda, 14",38.7372569,-9.1463817
100492/AL,2019-07-24,ZHUANG APARTMENT,Apartamento,1.0,2,"Praça Restauradores, 53",1250-187,Santa Maria Maior,praça restauradores,praça dos restauradores,done,2019,7,53.0,"praça dos restauradores, 53",38.7161827,-9.1414232
100493/AL,2019-07-24,Ajuda Apartment with Terrace,Apartamento,2.0,4,"Rua Aliança Operária, 24",1300-048,Alcântara,rua aliança operária,rua aliança operária,done,2019,7,24.0,"rua aliança operária, 24",38.7045031,-9.1895091
100494/AL,2019-07-24,Nations Apartment,Apartamento,2.0,5,"Avenida Peregrinação, 10",1990-384,Parque das Nações,avenida peregrinação,avenida da peregrinação,done,2019,7,10.0,"avenida da peregrinação, 10",38.7816718,-9.0983679
100495/AL,2019-07-24,Charming in Chiado,Apartamento,2.0,4,"Calçada São Francisco, 31",1200-411,Santa Maria Maior,calçada são francisco,calçada de são francisco,done,2019,7,31.0,"calçada de são francisco, 31",38.708879,-9.1395464
100496/AL,2019-07-24,Reis Leon 3,Apartamento,4.0,6,"Rua Andrade, 63",1170-014,Arroios,rua andrade,rua andrade,done,2019,7,63.0,"rua andrade, 63",38.7225629,-9.1348676
100497/AL,2019-07-24,Expo's Superb View,Apartamento,2.0,4,"Rua Cidade de Benguela, Lote 258",1800-073,Olivais,rua cidade de benguela,rua cidade de benguela,done,2019,7,258.0,"rua cidade de benguela, 258",38.7664082,-9.1133431
10053/AL,2012-01-19,Casa Apóstolos,Apartamento,9.0,10,"Beco dos Apóstolos, 11",1200-028,Misericórdia,beco dos apóstolos,beco dos apóstolos,done,2012,1,11.0,"beco dos apóstolos, 11",38.70817040000001,-9.1441219
100542/AL,2019-07-25,Prédio de Arroios,Apartamento,6.0,7,"Avenida Rovisco Pais, 20",1000-268,Arroios,avenida rovisco pais,avenida rovisco pais,done,2019,7,20.0,"avenida rovisco pais, 20",38.7352103,-9.138481
100545/AL,2019-07-25,Rua António Pedro,Apartamento,5.0,6,Rua António Pedro,1000-039,Arroios,rua antónio pedro,rua antónio pedro,done,2019,7,,rua antónio pedro,38.7311408,-9.1353587
100547/AL,2019-07-25,Rua Francisco Sanches,Apartamento,6.0,10,"Rua Francisco Sanches, 73",1170-140,Arroios,rua francisco sanches,rua francisco sanches,done,2019,7,73.0,"rua francisco sanches, 73",38.7325737,-9.1336626
100553/AL,2019-07-25,Salitre 111,Apartamento,2.0,4,"Rua Salitre, 111",1250-198,Santo António,rua salitre,rua do salitre,done,2019,7,111.0,"rua do salitre, 111",38.7197586,-9.1485028
10056/AL,2015-03-24,Europa aos Quartos,Apartamento,6.0,6,"Rua Heliodoro Salgado, 16",1170-176,Penha de França,rua heliodoro salgado,rua heliodoro salgado,done,2015,3,16.0,"rua heliodoro salgado, 16",38.72406489999999,-9.1312962
100561/AL,2019-07-25,Baixa Ouro T1,Apartamento,2.0,4,"Rua Crucifixo, 6",1100-183,Santa Maria Maior,rua crucifixo,rua do crucifixo,done,2019,7,6.0,"rua do crucifixo, 6",38.7094277,-9.1384481
100565/AL,2019-07-25,Ribeira 11,Apartamento,2.0,4,"Boqueirão Ferreiros, 11",1200-185,Misericórdia,boqueirão ferreiros,boqueirão dos ferreiros,done,2019,7,11.0,"boqueirão dos ferreiros, 11",38.7079413,-9.1493762
100566/AL,2019-07-25,Rua Filipe da Mata,Apartamento,4.0,7,"Rua Filipe da Mata, 113",1600-070,Avenidas Novas,rua filipe da mata,rua filipe da mata,done,2019,7,113.0,"rua filipe da mata, 113",38.7410496,-9.1607746
100567/AL,2019-07-25,The Central Charme Residence,Moradia,5.0,6,"Rua Sant'Ana à Lapa, 35",1200-796,Estrela,rua sant'ana à lapa,rua de santana à lapa,done,2019,7,35.0,"rua de santana à lapa, 35",38.7102094,-9.1616265
100568/AL,2019-07-25,Rua Tomaz Cabreira,Apartamento,4.0,4,"Rua Tomás Cabreira, 1, 1A e 1B 3",1600-208,Avenidas Novas,rua tomás cabreira,rua tomás cabreira,done,2019,7,3.0,"rua tomás cabreira, 3",38.7410582,-9.1574992
100569/AL,2019-07-25,Avenida António Augusto de Aguiar,Apartamento,4.0,8,"Avenida António Augusto de Aguiar, 183",1050-010,Avenidas Novas,avenida antónio augusto de aguiar,avenida antónio augusto de aguiar,done,2019,7,183.0,"avenida antónio augusto de aguiar, 183",38.7358329,-9.1554943
100571/AL,2019-07-25,Luxury River View Belem,Apartamento,4.0,6,"Rua Bica do Marquês, 41",1300-087,Ajuda,rua bica do marquês,rua da bica do marquês,done,2019,7,41.0,"rua da bica do marquês, 41",38.7046657,-9.1987561
100572/AL,2019-07-25,Gonzalo's Guest-Luxury Baixa,Apartamento,2.0,4,"Rua São Julião, 96",1100-526,Santa Maria Maior,rua são julião,rua de são julião,done,2019,7,96.0,"rua de são julião, 96",38.7094063,-9.1366478
10061/AL,2015-03-24,Casa da Silinha,Apartamento,3.0,4,"Rua Senhora Glória, 97",1170-352,São Vicente,rua senhora glória,rua da senhora da glória,done,2015,3,97.0,"rua da senhora da glória, 97",38.7202011,-9.1281888
100646/AL,2019-07-26,Crilu,Apartamento,4.0,4,"Rua Alexandre de Sá Pinto, 99",1300-034,Belém,rua alexandre de sá pinto,rua alexandre de sá pinto,done,2019,7,99.0,"rua alexandre de sá pinto, 99",38.6993675,-9.1958629
100647/AL,2019-07-26,Crilu II,Apartamento,4.0,4,"Rua Alexandre de Sá Pinto, 99",1300-034,Belém,rua alexandre de sá pinto,rua alexandre de sá pinto,done,2019,7,99.0,"rua alexandre de sá pinto, 99",38.6993675,-9.1958629
100648/AL,2019-07-26,HZ29,Apartamento,8.0,8,"Rua São Félix, 39",1200-839,Estrela,rua são félix,rua de são félix,done,2019,7,39.0,"rua de são félix, 39",38.7087703,-9.16115
100691/AL,2019-07-26,Lovely Spot in Penha de França,Apartamento,3.0,6,"Rua Feio Terenas, 28",1170-123,Penha de França,rua feio terenas,rua feio terenas,done,2019,7,28.0,"rua feio terenas, 28",38.7234788,-9.1307462
100705/AL,2019-07-27,Saldanha Bright Home,Apartamento,5.0,8,"Rua Viriato, 16",1050-235,Avenidas Novas,rua viriato,rua viriato,done,2019,7,16.0,"rua viriato, 16",38.7307882,-9.1477562
100728/AL,2019-07-27,The Delight Hostel Lisbon I,Estabelecimento de hospedagem-Hostel,12.0,17,"Rua Tomás Ribeiro, 95-95B 1º",1050-226,Avenidas Novas,rua tomás ribeiro,rua tomás ribeiro,done,2019,7,1.0,"rua tomás ribeiro, 95",38.73169607884432,-9.149136611455267
100729/AL,2019-07-27,Avenida de Berna 3,Apartamento,4.0,4,"Avenida Berna, 3",1050-036,Avenidas Novas,avenida berna,avenida de berna,done,2019,7,3.0,"avenida de berna, 3",38.7410367,-9.1474807
100731/AL,2019-07-27,ajuda,Apartamento,3.0,6,"Calçada Tapada, 119",1300-548,Alcântara,calçada tapada,calçada da tapada,done,2019,7,119.0,"calçada da tapada, 119",38.7058628,-9.1836396
100732/AL,2019-07-27,penha de franca,Apartamento,2.0,3,Avenida Afonso III,1900-047,Penha de França,avenida afonso iii,avenida afonso iii,done,2019,7,,avenida afonso iii,38.7265743,-9.1189134
100733/AL,2019-07-27,Downtown Fanqueiros,Apartamento,6.0,8,"Rua Fanqueiros, 196",1100-232,Santa Maria Maior,rua fanqueiros,rua dos fanqueiros,done,2019,7,196.0,"rua dos fanqueiros, 196",38.7116656,-9.1362544
100734/AL,2019-07-27,Flat Liberdade,Apartamento,1.0,2,"Rua São José, 43-45",1150-322,Santo António,rua são josé,rua de são josé,done,2019,7,45.0,"rua de são josé, 45",38.7203724,-9.1445689
100735/AL,2019-07-27,Trinas Tres,Apartamento,2.0,4,"Rua Trinas, 130",1200-860,Estrela,rua trinas,rua das trinas,done,2019,7,130.0,"rua das trinas, 130",38.7103084,-9.1593282
100778/AL,2019-07-28,Conde Redondo,Apartamento,4.0,6,"Rua Conde Redondo, 119",1150-102,Santo António,rua conde redondo,rua do conde de redondo,done,2019,7,119.0,"rua do conde de redondo, 119",38.7253763,-9.1459452
100801/AL,2019-07-30,Baixa Point 85,Estabelecimento de hospedagem,14.0,14,"Rua Sapateiros, 85",1100-576,Santa Maria Maior,rua sapateiros,rua dos sapateiros,done,2019,7,85.0,"rua dos sapateiros, 85",38.7106737,-9.1382093
100805/AL,2019-07-30,Timeless - Museum,Quartos,9.0,9,"Rua Junqueira, 337",1300-339,Belém,rua junqueira,rua da junqueira,done,2019,7,337.0,"rua da junqueira, 337",38.6973633,-9.1980628
100822/AL,2019-07-30,Ivone Carla Corte-Real Mirpuri Centre Apartments,Apartamento,1.0,2,"Avenida Liberdade, 40",1250-145,Santo António,avenida liberdade,avenida da liberdade,done,2019,7,40.0,"avenida da liberdade, 40",38.71834,-9.1433448
100823/AL,2019-07-30,Francisco Bravo Ferreira Luxury Apartment,Apartamento,7.0,10,"Rua Vitor Cordon, 30",1200-484,Santa Maria Maior,rua vitor cordon,rua vitor cordon,done,2019,7,30.0,"rua vitor cordon, 30",38.7080426,-9.1416926
100844/AL,2019-07-22,Luzeiros Suites 1,Estabelecimento de hospedagem,30.0,30,"Avenida República, 77",1050-243,Avenidas Novas,avenida república,avenida da república,done,2019,7,77.0,"avenida da república, 77",38.741402,-9.1470995
100845/AL,2019-07-22,Luzeiros Suites 3,Estabelecimento de hospedagem,30.0,30,"Avenida República, 77",1050-243,Avenidas Novas,avenida república,avenida da república,done,2019,7,77.0,"avenida da república, 77",38.741402,-9.1470995
100846/AL,2019-07-30,Luzeiros Suites 2,Estabelecimento de hospedagem,30.0,30,"Avenida República, 77",1050-243,Avenidas Novas,avenida república,avenida da república,done,2019,7,77.0,"avenida da república, 77",38.741402,-9.1470995
100848/AL,2019-07-22,Luzeiros Suites 4,Estabelecimento de hospedagem,30.0,30,"Avenida República, 77",1050-243,Avenidas Novas,avenida república,avenida da república,done,2019,7,77.0,"avenida da república, 77",38.741402,-9.1470995
100849/AL,2019-07-22,Luzeiros Suites 5,Estabelecimento de hospedagem,30.0,30,"Avenida República, 77",1050-243,Avenidas Novas,avenida república,avenida da república,done,2019,7,77.0,"avenida da república, 77",38.741402,-9.1470995
100850/AL,2019-07-22,Luzeiros Suites 6,Estabelecimento de hospedagem,30.0,30,"Avenida República, 77",1050-243,Avenidas Novas,avenida república,avenida da república,done,2019,7,77.0,"avenida da república, 77",38.741402,-9.1470995
100851/AL,2019-07-22,Luzeiros Suites 7,Estabelecimento de hospedagem,30.0,30,"Avenida República, 77",1050-243,Avenidas Novas,avenida república,avenida da república,done,2019,7,77.0,"avenida da república, 77",38.741402,-9.1470995
100867/AL,2019-07-31,Rua Augusta Modern Art Apartment,Apartamento,3.0,4,"Rua Augusta, 229",1100-051,Santa Maria Maior,rua augusta,rua augusta,done,2019,7,229.0,"rua augusta, 229",38.7119982,-9.1382959
100870/AL,2019-07-31,Roma 34,Apartamento,1.0,2,"Avenida Roma, 34",1700-347,Alvalade,avenida roma,avenida de roma,done,2019,7,34.0,"avenida de roma, 34",38.7460821,-9.1399812
100881/AL,2019-07-31,Alcântara 1937,Apartamento,2.0,4,"Rua Filinto Elísio, 23",1300-244,Alcântara,rua filinto elísio,rua filinto elísio,done,2019,7,23.0,"rua filinto elísio, 23",38.7039486,-9.184067100000002
100891/AL,2019-07-31,Saraiva Lima Living,Apartamento,2.0,4,"Rua Sebastião Saraiva Lima, 53",1170-348,Penha de França,rua sebastião saraiva lima,rua sebastião saraiva lima,done,2019,7,53.0,"rua sebastião saraiva lima, 53",38.7321878,-9.1302329
100892/AL,2019-07-31,Casa do Arco - Belém,Moradia,3.0,4,Rua 12,1400-138,Belém,rua,rua doze bairro das terras do forno ou de belém,manual,2019,7,12.0,"rua doze bairro das terras do forno ou de belém, 12",38.69749729999999,-9.1977192
100899/AL,2019-07-31,Marta Fragata,Apartamento,1.0,2,Rua Feio Terenas,1170-123,Penha de França,rua feio terenas,rua feio terenas,done,2019,7,,rua feio terenas,38.7231744,-9.1307506
100951/AL,2019-08-01,Casa da Catarina,Apartamento,5.0,6,"Rua Cidade da Horta, 54",1000-103,Arroios,rua cidade da horta,rua cidade da horta,done,2019,8,54.0,"rua cidade da horta, 54",38.7322754,-9.1397078
100960/AL,2019-08-01,Santa Justa Penthouse With Balconies and Landmark View,Apartamento,3.0,6,"Rua Santa Justa, 79",1100-484,Santa Maria Maior,rua santa justa,rua de santa justa,done,2019,8,79.0,"rua de santa justa, 79",38.7122322,-9.1385648
100968/AL,2019-08-01,Amoreiras Estúdio,Apartamento,2.0,4,"Rua Campolide, 31",1070-039,Campolide,rua campolide,rua de campolide,done,2019,8,31.0,"rua de campolide, 31",38.7263408,-9.16258
100972/AL,2019-08-01,"Rua Cardeal Mercier 1, 2D",Apartamento,2.0,4,"Rua Cardeal Mercier, 1",1600-025,Avenidas Novas,rua cardeal mercier,rua cardeal mercier,done,2019,8,1.0,"rua cardeal mercier, 1",38.7427706,-9.157342
100974/AL,2019-08-01,Lisbon Facile,Apartamento,4.0,6,"Estrada Moscavide, 34",1800-279,Parque das Nações,estrada moscavide,estrada de moscavide,done,2019,8,34.0,"estrada de moscavide, 34",38.7731457,-9.099986
100976/AL,2019-08-01,Parque das Nações River View Free Wi-Fi 2,Apartamento,1.0,2,"Avenida Dom João II, 53",1990-085,Parque das Nações,avenida dom joão ii,avenida d joão ii,done,2019,8,53.0,"avenida d joão ii, 53",38.7739933,-9.0976502
101026/AL,2019-08-02,"7474 - R. Bombarda 5, 1ºA",Apartamento,3.0,6,"Rua Bombarda, 5",1100-097,Arroios,rua bombarda,rua da bombarda,done,2019,8,5.0,"rua da bombarda, 5",38.7193688,-9.1344728
101027/AL,2019-08-02,Panoramic Apartment,Apartamento,3.0,4,"Rua Bombarda, 57",1100-098,Arroios,rua bombarda,rua da bombarda,done,2019,8,57.0,"rua da bombarda, 57",38.7207303,-9.134006200000002
101028/AL,2019-08-02,Palmela 21,Apartamento,4.0,6,"Rua Duque Palmela, 21",1250-097,Santo António,rua duque palmela,rua duque de palmela,done,2019,8,21.0,"rua duque de palmela, 21",38.723171,-9.1499906
101029/AL,2019-08-02,Panoramic28,Apartamento,2.0,4,"Avenida Dom João II, 57",1990-086,Parque das Nações,avenida dom joão ii,avenida d joão ii,done,2019,8,57.0,"avenida d joão ii, 57",38.7746884,-9.0980786
101031/AL,2019-08-02,Congo  - Dream Accomodation,Apartamento,4.0,8,"Rua Congo, 2",1990-368,Parque das Nações,rua congo,rua do congo,done,2019,8,2.0,"rua do congo, 2",38.7797851,-9.0965958
101036/AL,2019-08-02,Beautiful House,Apartamento,3.0,3,"Avenida Peregrinação, 3",1990-378,Parque das Nações,avenida peregrinação,avenida da peregrinação,done,2019,8,3.0,"avenida da peregrinação, 3",38.7821498,-9.0953074
101037/AL,2019-08-02,SalvaLisboa,Apartamento,3.0,4,"Avenida Forças Armadas, 59",1600-077,Avenidas Novas,avenida forças armadas,avenida das forças armadas,done,2019,8,59.0,"avenida das forças armadas, 59",38.7473347,-9.1529926
101038/AL,2019-08-02,LX4U APARTMENTS,Apartamento,3.0,4,"Rua Palma, Edifício 3E, 37",1100-390,Santa Maria Maior,rua palma,rua da palma,done,2019,8,37.0,"rua da palma, 37",38.7153585,-9.1371492
101039/AL,2019-08-02,Vila Rosário,Apartamento,3.0,4,Rua Penha de França 138,1170-307,Penha de França,rua penha de frança,rua da penha de frança,done,2019,8,138.0,"rua da penha de frança, 138",38.7252374,-9.1295062
101040/AL,2019-08-02,BeGuest Saldanha Central Apartment,Apartamento,2.0,4,"Rua Pascoal de Melo, 138",1000-237,Arroios,rua pascoal de melo,rua de pascoal de melo,done,2019,8,138.0,"rua de pascoal de melo, 138",38.7317761,-9.140109
101041/AL,2019-08-02,ELISA ROCHA D`ESCRAGNOLLE T. GOUVEIA,Apartamento,4.0,6,"Rua São Bento, 562-562A RC- Duplex ESQ",1250-221,Santo António,rua são bento,rua de são bento,done,2019,8,562.0,"rua de são bento, 562",38.71745,-9.1551696
101043/AL,2019-08-02,188 Augusta Downtown,Apartamento,4.0,4,"Rua Augusta, 188",1100-048,Santa Maria Maior,rua augusta,rua augusta,done,2019,8,188.0,"rua augusta, 188",38.7114877,-9.137842
101131/AL,2019-08-03,Apartamento Chiado João de Deus,Apartamento,4.0,6,"Travessa João de Deus, 24",1200-235,Santa Maria Maior,travessa joão de deus,travessa joão de deus,done,2019,8,24.0,"travessa joão de deus, 24",38.7128518,-9.1425832
