NrRegisto,DataRegisto,NomeAlojamento,Modalidade,NrCamas,NrUtentes,MoradaFornecida,CodPostal,Freguesia,RuaPadronizada,RuaMatch,LimpezaDados,Ano,Mes,NrPredio,Endereco,Latitude,Longitude
45198/AL,2017-05-15,Passport,Apartamento,2.0,4,"Rua Atalaia, 110",1200-043,Misericórdia,rua atalaia,rua da atalaia,done,2017,5,110.0,"rua da atalaia, 110",38.7125144,-9.1449709
45214/AL,2017-05-15,"Family Charming Apartment in Alfama, Lisbon",Apartamento,4.0,6,"Rua Paraíso, 28",1100-398,São Vicente,rua paraíso,rua do paraíso,done,2017,5,28.0,"rua do paraíso, 28",38.7146954,-9.1236511
45220/AL,2017-05-15,Apartamento,Apartamento,1.0,2,"Rua Adiça, 38",1100-007,Santa Maria Maior,rua adiça,rua da adiça,done,2017,5,38.0,"rua da adiça, 38",38.7107799,-9.1300286
45222/AL,2017-05-15,Baronesa House Lisbon,Estabelecimento de hospedagem,5.0,9,"Largo Graça, 12",1170-165,São Vicente,largo graça,largo da graça,done,2017,5,12.0,"largo da graça, 12",38.7182581,-9.1296895
45226/AL,2017-05-15,Your Home Alfama,Apartamento,1.0,2,"Rua Santo Estêvão, 22",1100-506,Santa Maria Maior,rua santo estêvão,rua de santo estêvão,done,2017,5,22.0,"rua de santo estêvão, 22",38.7123972,-9.127316
45234/AL,2017-05-15,The Vassalo Apartment,Apartamento,5.0,5,"Rua Josefa de Óbidos, 2",1170-196,São Vicente,rua josefa de óbidos,rua josefa de óbidos,done,2017,5,2.0,"rua josefa de óbidos, 2",38.7194334,-9.1291731
4524/AL,2015-01-20,São Bento Cozy Apartment,Apartamento,2.0,2,"Rua Prazeres, 16",1200-354,Misericórdia,rua prazeres,rua dos prazeres,done,2015,1,16.0,"rua dos prazeres, 16",38.7147053,-9.1525841
45242/AL,2014-08-08,Castelo House Lisboa,Apartamento,2.0,4,"Rua Bartolomeu de Gusmão, 16",1100-079,Santa Maria Maior,rua bartolomeu de gusmão,rua bartolomeu de gusmão,done,2014,8,16.0,"rua bartolomeu de gusmão, 16",38.7118933,-9.1326315
45247/AL,2017-05-15,Casa da Rosa,Apartamento,4.0,6,"Calçada da Rosa , 5",1100-237,Santa Maria Maior,calçada da rosa,calçada da rosa,done,2017,5,5.0,"calçada da rosa, 5",38.7140482,-9.1351241
45254/AL,2017-05-15,Santana Apartments,Apartamento,2.0,4,"Calçada Santana, 61",1150-301,Arroios,calçada santana,calçada de santana,done,2017,5,61.0,"calçada de santana, 61",38.7159736,-9.1385494
